year,category,indicator,dimension,value,unit,note
2020,贸易,货物服务出口总额,中国,27397.8509,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
2021,贸易,货物服务出口总额,中国,35375.1028,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
2022,贸易,货物服务出口总额,中国,37050.7054,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
2023,贸易,货物服务出口总额,中国,35448.7108,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
2024,贸易,货物服务出口总额,中国,38288.7397,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
2019,贸易,货物服务进口总额,中国,25210.3655,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2020,贸易,货物服务进口总额,中国,24096.5039,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2021,贸易,货物服务进口总额,中国,31321.1616,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2022,贸易,货物服务进口总额,中国,31660.1614,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2023,贸易,货物服务进口总额,中国,31675.026,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2024,贸易,货物服务进口总额,中国,32801.7024,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, CHN)"
2019,综合,通货膨胀率(CPI),中国,2.8992,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2020,综合,通货膨胀率(CPI),中国,2.4194,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2021,综合,通货膨胀率(CPI),中国,0.981,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2022,综合,通货膨胀率(CPI),中国,1.9736,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2023,综合,通货膨胀率(CPI),中国,0.2348,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2024,综合,通货膨胀率(CPI),中国,0.2181,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, CHN)"
2019,人口,预期寿命,中国,77.94,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2020,人口,预期寿命,中国,78.019,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2021,人口,预期寿命,中国,78.117,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2022,人口,预期寿命,中国,78.202,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2023,人口,预期寿命,中国,77.953,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2024,人口,预期寿命,中国,78.017,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, CHN)"
2019,综合,GDP增长率,亚太,4.0409,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2020,综合,GDP增长率,亚太,-0.0907,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2021,综合,GDP增长率,亚太,6.4804,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2022,综合,GDP增长率,亚太,3.0516,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2023,综合,GDP增长率,亚太,4.0712,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2024,综合,GDP增长率,亚太,3.7253,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAS)"
2019,综合,人均GDP,亚太,11677.4429,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2020,综合,人均GDP,亚太,11697.5157,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2021,综合,人均GDP,亚太,13416.9773,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2022,综合,人均GDP,亚太,13219.5864,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2023,综合,人均GDP,亚太,13251.512,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2024,综合,人均GDP,亚太,13482.4789,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAS)"
2019,综合,国内生产总值(GDP),亚太,275559.8832,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2020,综合,国内生产总值(GDP),亚太,277163.3792,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2021,综合,国内生产总值(GDP),亚太,318669.0059,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2022,综合,国内生产总值(GDP),亚太,314575.5399,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2023,综合,国内生产总值(GDP),亚太,315974.549,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2024,综合,国内生产总值(GDP),亚太,322004.6678,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAS)"
2019,人口,失业率,亚太,3.8244,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2020,人口,失业率,亚太,4.2966,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2021,人口,失业率,亚太,4.0622,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2022,人口,失业率,亚太,4.1003,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2023,人口,失业率,亚太,3.8619,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2024,人口,失业率,亚太,3.8059,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAS)"
2019,工业,工业增加值,亚太,94306.0311,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2020,工业,工业增加值,亚太,93763.6418,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2021,工业,工业增加值,亚太,110885.6059,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2022,工业,工业增加值,亚太,109438.2622,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2023,工业,工业增加值,亚太,107363.5474,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2024,工业,工业增加值,亚太,108202.0288,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAS)"
2019,人口,总人口,亚太,23.5976,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2020,人口,总人口,亚太,23.6942,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2021,人口,总人口,亚太,23.7512,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2022,人口,总人口,亚太,23.7962,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2023,人口,总人口,亚太,23.8444,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2024,人口,总人口,亚太,23.8832,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAS)"
2019,贸易,货物服务出口总额,亚太,75571.269,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2020,贸易,货物服务出口总额,亚太,72405.194,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2021,贸易,货物服务出口总额,亚太,90350.2063,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2022,贸易,货物服务出口总额,亚太,96907.4706,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2023,贸易,货物服务出口总额,亚太,93764.209,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2024,贸易,货物服务出口总额,亚太,100214.4075,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAS)"
2019,贸易,货物服务进口总额,亚太,71383.6191,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2020,贸易,货物服务进口总额,亚太,65617.6802,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2021,贸易,货物服务进口总额,亚太,82478.8408,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2022,贸易,货物服务进口总额,亚太,89173.5345,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2023,贸易,货物服务进口总额,亚太,86552.418,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2024,贸易,货物服务进口总额,亚太,90361.8909,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAS)"
2019,综合,通货膨胀率(CPI),亚太,1.7144,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2020,综合,通货膨胀率(CPI),亚太,0.8469,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2021,综合,通货膨胀率(CPI),亚太,2.4771,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2022,综合,通货膨胀率(CPI),亚太,5.5181,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2023,综合,通货膨胀率(CPI),亚太,4.2516,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2024,综合,通货膨胀率(CPI),亚太,2.2767,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAS)"
2019,人口,预期寿命,亚太,76.5862,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2020,人口,预期寿命,亚太,76.5434,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2021,人口,预期寿命,亚太,76.1529,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2022,人口,预期寿命,亚太,76.6767,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2023,人口,预期寿命,亚太,76.6572,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2024,人口,预期寿命,亚太,76.7379,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAS)"
2019,综合,GDP增长率,亚太(发展中),5.8849,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2020,综合,GDP增长率,亚太(发展中),1.3434,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2021,综合,GDP增长率,亚太(发展中),7.7202,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2022,综合,GDP增长率,亚太(发展中),3.5492,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2023,综合,GDP增长率,亚太(发展中),5.2601,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2024,综合,GDP增长率,亚太(发展中),4.9541,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, EAP)"
2019,综合,人均GDP,亚太(发展中),8286.4575,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2020,综合,人均GDP,亚太(发展中),8391.239,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2021,综合,人均GDP,亚太(发展中),9974.5792,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2022,综合,人均GDP,亚太(发展中),10107.057,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2023,综合,人均GDP,亚太(发展中),10126.4304,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2024,综合,人均GDP,亚太(发展中),10391.1526,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, EAP)"
2019,综合,国内生产总值(GDP),亚太(发展中),175034.004,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2020,综合,国内生产总值(GDP),亚太(发展中),178050.8716,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2021,综合,国内生产总值(GDP),亚太(发展中),212314.2786,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2022,综合,国内生产总值(GDP),亚太(发展中),215640.1656,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2023,综合,国内生产总值(GDP),亚太(发展中),216455.2605,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2024,综合,国内生产总值(GDP),亚太(发展中),222487.2814,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, EAP)"
2019,人口,失业率,亚太(发展中),3.9043,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2020,人口,失业率,亚太(发展中),4.3694,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2021,人口,失业率,亚太(发展中),4.1333,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2022,人口,失业率,亚太(发展中),4.2349,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2023,人口,失业率,亚太(发展中),3.9771,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2024,人口,失业率,亚太(发展中),3.9137,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, EAP)"
2019,工业,工业增加值,亚太(发展中),65664.0892,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2020,工业,工业增加值,亚太(发展中),65314.4226,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2021,工业,工业增加值,亚太(发展中),80508.9211,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2022,工业,工业增加值,亚太(发展中),81769.2629,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2023,工业,工业增加值,亚太(发展中),79563.1362,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2024,工业,工业增加值,亚太(发展中),80770.6507,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, EAP)"
2019,人口,总人口,亚太(发展中),21.1229,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2020,人口,总人口,亚太(发展中),21.2187,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2021,人口,总人口,亚太(发展中),21.2855,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2022,人口,总人口,亚太(发展中),21.3356,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2023,人口,总人口,亚太(发展中),21.3753,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2024,人口,总人口,亚太(发展中),21.4112,亿人,"来源：世界银行OpenData(SP.POP.TOTL, EAP)"
2019,贸易,货物服务出口总额,亚太(发展中),38730.2527,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2020,贸易,货物服务出口总额,亚太(发展中),38395.1542,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2021,贸易,货物服务出口总额,亚太(发展中),48827.9676,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2022,贸易,货物服务出口总额,亚太(发展中),52612.1505,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2023,贸易,货物服务出口总额,亚太(发展中),50463.6512,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2024,贸易,货物服务出口总额,亚太(发展中),54647.0279,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, EAP)"
2019,贸易,货物服务进口总额,亚太(发展中),37196.1284,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2020,贸易,货物服务进口总额,亚太(发展中),34620.8764,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2021,贸易,货物服务进口总额,亚太(发展中),44745.2261,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2022,贸易,货物服务进口总额,亚太(发展中),47162.9127,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2023,贸易,货物服务进口总额,亚太(发展中),46440.4014,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2024,贸易,货物服务进口总额,亚太(发展中),48970.255,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, EAP)"
2019,综合,通货膨胀率(CPI),亚太(发展中),1.9426,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2020,综合,通货膨胀率(CPI),亚太(发展中),2.4063,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2021,综合,通货膨胀率(CPI),亚太(发展中),2.6989,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2022,综合,通货膨胀率(CPI),亚太(发展中),5.6696,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2023,综合,通货膨胀率(CPI),亚太(发展中),5.8859,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2024,综合,通货膨胀率(CPI),亚太(发展中),2.1815,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, EAP)"
2019,人口,预期寿命,亚太(发展中),75.769,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2020,人口,预期寿命,亚太(发展中),75.6976,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2021,人口,预期寿命,亚太(发展中),75.2781,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2022,人口,预期寿命,亚太(发展中),75.9325,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2023,人口,预期寿命,亚太(发展中),75.8807,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2024,人口,预期寿命,亚太(发展中),75.9593,岁,"来源：世界银行OpenData(SP.DYN.LE00.IN, EAP)"
2019,综合,GDP增长率,印度,3.8714,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2020,综合,GDP增长率,印度,-5.7777,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2021,综合,GDP增长率,印度,9.6896,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2022,综合,GDP增长率,印度,7.6094,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2023,综合,GDP增长率,印度,7.2102,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2024,综合,GDP增长率,印度,7.0993,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, IND)"
2019,综合,人均GDP,印度,2041.4286,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2020,综合,人均GDP,印度,1907.0425,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2021,综合,人均GDP,印度,2239.6138,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2022,综合,人均GDP,印度,2279.9815,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2023,综合,人均GDP,印度,2434.4483,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2024,综合,人均GDP,印度,2591.9917,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, IND)"
2019,综合,国内生产总值(GDP),印度,28356.0626,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2020,综合,国内生产总值(GDP),印度,26748.5158,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2021,综合,国内生产总值(GDP),印度,31672.7062,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2022,综合,国内生产总值(GDP),印度,32499.3849,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2023,综合,国内生产总值(GDP),印度,35009.0603,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2024,综合,国内生产总值(GDP),印度,37608.1347,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, IND)"
2019,人口,失业率,印度,6.51,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2020,人口,失业率,印度,7.859,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2021,人口,失业率,印度,6.38,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2022,人口,失业率,印度,4.822,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2023,人口,失业率,印度,4.172,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2024,人口,失业率,印度,4.173,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, IND)"
2019,工业,工业增加值,印度,6973.1741,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2020,工业,工业增加值,印度,6720.0044,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2021,工业,工业增加值,印度,8382.6643,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2022,工业,工业增加值,印度,8321.151,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2023,工业,工业增加值,印度,8945.7096,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2024,工业,工业增加值,印度,9466.8184,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, IND)"
2019,人口,总人口,印度,13.8903,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2020,人口,总人口,印度,14.0262,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2021,人口,总人口,印度,14.142,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2022,人口,总人口,印度,14.2542,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2023,人口,总人口,印度,14.3807,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2024,人口,总人口,印度,14.5094,亿人,"来源：世界银行OpenData(SP.POP.TOTL, IND)"
2019,贸易,货物服务出口总额,印度,5292.4506,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2020,贸易,货物服务出口总额,印度,4997.2853,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2021,贸易,货物服务出口总额,印度,6777.6926,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2022,贸易,货物服务出口总额,印度,7812.9079,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2023,贸易,货物服务出口总额,印度,7826.2061,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2024,贸易,货物服务出口总额,印度,8297.8519,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, IND)"
2019,贸易,货物服务进口总额,印度,6023.1506,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2020,贸易,货物服务进口总额,印度,5102.4475,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2021,贸易,货物服务进口总额,印度,7609.0289,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2022,贸易,货物服务进口总额,印度,8663.6102,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2023,贸易,货物服务进口总额,印度,8391.0241,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2024,贸易,货物服务进口总额,印度,8970.559,亿美元,"来源：世界银行OpenData(NE.IMP.GNFS.CD, IND)"
2019,综合,通货膨胀率(CPI),印度,3.7295,%,"来源：世界银行OpenData(FP.CPI.TOTL.ZG, IND)"
